大地の力,SU_POWEROFLAND
チャタリング,SU_CHATTERING
ミャウミャウ,SU_MEOWMEOW
ニャングラス,SU_NYANGGRASS
大地の魂,SU_SPIRITOFLAND
ピッキ突き,SU_PICKYPECK
アクラウスダッシュ,SU_ARCLOUSEDASH
タロウの傷,SU_SCAROFTAROU
キャロットビート,SU_LUNATICCARROTBEAT
生命の力,SU_POWEROFLIFE
警戒,SU_HISS
群れの力,SU_POWEROFFLOCK
サベージの魂,SU_SVG_SPIRIT
生命の魂,SU_SPIRITOFLIFE
私達が一緒なら,WE_CALLALLFAMILY
永遠に続く私達の愛,WE_ONEFOREVER
ママ、パパ、頑張って,WE_CHEERUP
エンチャントブレイド,RK_ENCHANTBLADE
カウンタースラッシュ,GC_COUNTERSLASH
パワースイング,NC_POWERSWING
ソニックウェーブ,RK_SONICWAVE
ジュデックス,AB_JUDEX
フリージングスペル,WL_FREEZE_SP
トラップ研究,RA_RESEARCHTRAP
フェイントボム,SC_FEINTBOMB
修羅身弾,SR_KNUCKLEARROW
シールドプレス,LG_SHIELDPRESS
カートトルネード,GN_CART_TORNADO
ヴェラチュールスピアー,SO_VARETYR_SPEAR
スペルフィスト,SO_SPELLFIST
テトラボルテックス,WL_TETRAVORTEX
レイオブジェネシス,LG_RAYOFGENESIS
大纏崩捶,SR_FALLENEMPIRE
メタリックサウンド,WM_METALICSOUND
スポアエクスプロージョン,GN_SPORE_EXPLOSION
フェイタルメナス,SC_FATALMENACE
アームズキャノン,NC_ARMSCANNON
エイムドボルト,RA_AIMEDBOLT
レノヴァティオ,AB_RENOVATIO
ファイアーダンス,RL_FIREDANCE
ハンマーオブゴッド,RL_HAMMER_OF_GOD
ラウンドトリップ,RL_R_TRIP
ラウンドトリップ,RL_R_TRIP_PLUSATK
バニシングバスター,RL_BANISHING_BUSTER
ドラゴンテイル,RL_D_TAIL
十文字斬り,KO_JYUMONJIKIRI
風魔手裏剣 -乱華-,KO_HUUMARANKA
ブレイクスルー,NV_BREAKTHROUGH
天使さま助けて,NV_HELPANGEL
トランセンデンス,NV_TRANSCENDENCE
手裏剣投げ,NJ_SYURIKEN
苦無投げ,NJ_KUNAI
風魔手裏剣投げ,NJ_HUUMA
霞斬り,NJ_KASUMIKIRI
影斬り,NJ_KIRIKAGE
朔風,NJ_KAMAITACHI
オールステータスダウン,NPC_ALL_STAT_DOWN
グラデュアルグラビティ,NPC_GRADUAL_GRAVITY
デモニックマスブリーディング,NPC_WIDEBLEEDING2
デモニックマスサイレンス,NPC_WIDESILENCE2
デモニックマススタン,NPC_WIDESTUN2
デモニックマスストーン,NPC_WIDESTONE2
デモニックマススリープ,NPC_WIDESLEEP2
デモニックマスカース,NPC_WIDECURSE2
デモニックマスコンフューズ,NPC_WIDECONFUSE2
デモニックマスフリーズ,NPC_WIDEFREEZE2
デモニックブリーディング,NPC_BLEEDING2
デモニックアイスブレス,NPC_ICEBREATH2
デモニックイービルランド,NPC_EVILLAND2
デモニックヘルジャッジメント,NPC_HELLJUDGEMENT2
太陽と月と星の記録,SJ_DOCUMENT
太陽と月と星の浄化,SJ_PURIFY
太陽の構え,SJ_SUNSTANCE
紅焔脚,SJ_PROMINENCEKICK
太陽爆発,SJ_SOLARBURST
太陽の光,SJ_LIGHTOFSUN
月の構え,SJ_LUNARSTANCE
朔月脚,SJ_NEWMOONKICK
満月脚,SJ_FULLMOONKICK
月の光,SJ_LIGHTOFMOON
星の構え,SJ_STARSTANCE
閃光脚,SJ_FLASHKICK
流星落下,SJ_FALLINGSTAR
流星落下,SJ_FALLINGSTAR_ATK
流星落下,SJ_FALLINGSTAR_ATK2
星の光,SJ_LIGHTOFSTAR
宇宙の構え,SJ_UNIVERSESTANCE
重力調節,SJ_GRAVITYCONTROL
新星爆発,SJ_NOVAEXPLOSING
星帝降臨,SJ_STAREMPEROR
創星の書,SJ_BOOKOFCREATINGSTAR
次元の書,SJ_BOOKOFDIMENSION
エスハ,SP_SHA
エスパ,SP_SPA
エスフ,SP_SWHOO
カウト,SP_KAUTE
魂の蓄積,SP_SOULCOLLECT
魂の収穫,SP_SOULREAPER
魂の循環,SP_SOULREVOLVE
魂の連結,SP_SOULUNITY
ソウルエナジー研究,SP_SOULENERGY
死霊憑依,SP_SOULCURSE
死霊爆発,SP_CURSEEXPLOSION
魂の分裂,SP_SOULDIVISION
鷹の魂,SP_SOULFALCON
妖精の魂,SP_SOULFAIRY
影の魂,SP_SOULSHADOW
ゴーレムの魂,SP_SOULGOLEM
魂の崩壊,SP_SOULEXPLOSION
ストーンスキン,NPC_STONESKIN
露店代行サービス,ALL_ASSISTANT_VENDING
買取露店代行サービス,ALL_ASSISTANT_BUYING
Happy 20th Anniversary,All_EVENT_20TH_ANNIVERSARY
サーヴァントウェポン,DK_SERVANTWEAPON
サーヴァントウェポン,DK_SERVANTWEAPON_ATK
サーヴァントウェポン：サイン,DK_SERVANT_W_SIGN
サーヴァントウェポン：ファントム,DK_SERVANT_W_PHANTOM
サーヴァントウェポン：デモリッション,DK_SERVANT_W_DEMOL
チャージングピアース,DK_CHARGINGPIERCE
ツーハンドディフェンディング,DK_TWOHANDDEF
ハックアンドスラッシャー,DK_HACKANDSLASHER
ハックアンドスラッシャー,DK_HACKANDSLASHER_ATK
ドラゴニックオーラ,DK_DRAGONIC_AURA
マッドネスクラッシャー,DK_MADNESS_CRUSHER
ヴィゴール,DK_VIGOR
ストームスラッシュ,DK_STORMSLASH
デッドリープロジェクション,AG_DEADLY_PROJECTION
ディストラクティブハリケーン,AG_DESTRUCTIVE_HURRICANE
レインオブクリスタル,AG_RAIN_OF_CRYSTAL
ミステリーイリュージョン,AG_MYSTERY_ILLUSION
バイオレントクエイク,AG_VIOLENT_QUAKE
ソウルバルカンストライク,AG_SOUL_VC_STRIKE
ストラタムトレマー,AG_STRANTUM_TREMOR
オールブルーム,AG_ALL_BLOOM
クリスタルインパクト,AG_CRYSTAL_IMPACT
クリスタルインパクト,AG_CRYSTAL_IMPACT_ATK
トルネードストーム,AG_TORNADO_STORM
フローラルフレアロード,AG_FLORAL_FLARE_ROAD
クライマックス,AG_CLIMAX
アストラルストライク,AG_ASTRAL_STRIKE
ロックダウン,AG_ROCK_DOWN
ストームキャノン,AG_STORM_CANNON
クリムゾンアロー,AG_CRIMSON_ARROW
クリムゾンアロー,AG_CRIMSON_ARROW_ATK
フローズンスラッシュ,AG_FROZEN_SLASH
両手杖修練,AG_TWOHANDSTAFF
強靭な信念,IQ_POWERFUL_FAITH
堅固な信念,IQ_FIRM_FAITH
信仰の意志,IQ_WILL_OF_FAITH
聖油洗礼,IQ_OLEUM_SANCTUM
忠実な信念,IQ_SINCERE_FAITH
第一撃：烙印,IQ_FIRST_BRAND
第一章：信念の力,IQ_FIRST_FAITH_POWER
第三撃：断罪,IQ_THIRD_PUNISH
第三撃：滅火撃,IQ_THIRD_FLAME_BOMB
第三撃：浄化,IQ_THIRD_CONSECRATION
第二撃：滅魔の火,IQ_SECOND_FLAME
第二撃：信念,IQ_SECOND_FAITH
第二撃：審判,IQ_SECOND_JUDGEMENT
爆火神弾,IQ_EXPOSION_BLASTER
炎火滅魔神弾,IQ_MASSIVE_F_BLASTER
第二章：審判者,IQ_JUDGE
最終章：滅魔の炎,IQ_THIRD_EXOR_FLAME
ガードスタンス,IG_GUARD_STANCE
ガーディアンシールド,IG_GUARDIAN_SHIELD
リバウンドシールド,IG_REBOUND_SHIELD
盾修練,IG_SHIELD_MASTERY
槍＆片手剣修練,IG_SPEAR_SWORD_M
アタックスタンス,IG_ATTACK_STANCE
アルティメットサクリファイス,IG_ULTIMATE_SACRIFICE
ホーリーシールド,IG_HOLY_SHIELD
グランドジャッジメント,IG_GRAND_JUDGEMENT
ジャッジメントクロス,IG_JUDGEMENT_CROSS
シールドシューティング,IG_SHIELD_SHOOTING
オーバースラッシュ,IG_OVERSLASH
クロスレイン,IG_CROSS_RAIN
ダンシングナイフ,SHC_DANCING_KNIFE
サベージインパクト,SHC_SAVAGE_IMPACT
シャドウセンス,SHC_SHADOW_SENSE
エターナルスラッシュ,SHC_ETERNAL_SLASH
エンチャンティングシャドウ,SHC_ENCHANTING_SHADOW
ポテントベナム,SHC_POTENT_VENOM
シャドウエクシード,SHC_SHADOW_EXCEED
フェイタルシャドウクロー,SHC_FATAL_SHADOW_CROW
シャドウスタブ,SHC_SHADOW_STAB
インパクトクレーター,SHC_IMPACT_CRATER
レパラティオ,CD_REPARATIO
メディアリボトゥム,CD_MEDIALE_VOTUM
鈍器＆本修練,CD_MACE_BOOK_M
アルグトゥスヴィタ,CD_ARGUTUS_VITA
アルグトゥステルム,CD_ARGUTUS_TELUM
アルビトリウム,CD_ARBITRIUM
アルビトリウム,CD_ARBITRIUM_ATK
プレセンスアキエース,CD_PRESENS_ACIES
フィドスアニムス,CD_FIDUS_ANIMUS
エフィリゴ,CD_EFFLIGO
コンペテンティア,CD_COMPETENTIA
ニューマティックプロセラ,CD_PNEUMATICUS_PROCELLA
ディレクティオヒール,CD_DILECTIO_HEAL
レリギオ,CD_RELIGIO
ベネディクトゥム,CD_BENEDICTUM
ペティティオ,CD_PETITIO
フレーメン,CD_FRAMEN
バイオニックファーマシー,BO_BIONIC_PHARMACY
バイオニックスマスタリー,BO_BIONICS_M
ホールフルケミカルチャージ,BO_THE_WHOLE_PROTECTION
フルシャドウチャージ,BO_ADVANCE_PROTECTION
アシディファイドゾーン(水),BO_ACIDIFIED_ZONE_WATER
アシディファイドゾーン(水),BO_ACIDIFIED_ZONE_WATER_INSTALL_ON_GROUND
アシディファイドゾーン(地),BO_ACIDIFIED_ZONE_GROUND
アシディファイドゾーン(地),BO_ACIDIFIED_ZONE_GROUND_INSTALL_ON_GROUND
アシディファイドゾーン(火),BO_ACIDIFIED_ZONE_FIRE
アシディファイドゾーン(火),BO_ACIDIFIED_ZONE_FIRE_INSTALL_ON_GROUND
アシディファイドゾーン(風),BO_ACIDIFIED_ZONE_WIND
アシディファイドゾーン(風),BO_ACIDIFIED_ZONE_WIND_INSTALL_ON_GROUND
クリエイトウドゥンウォリアー,BO_WOODENWARRIOR
クリエイトウドゥンフェアリー,BO_WOODEN_FAIRY
クリエイトクリーパー,BO_CREEPER
リサーチレポート,BO_RESEARCHREPORT
クリエイトヘルツリー,BO_HELLTREE
アドバンスドトラップ,WH_ADVANCED_TRAP
ウィンドサイン,WH_WIND_SIGN
自然親和,WH_NATUREFRIENDLY
ホークラッシュ,WH_HAWKRUSH
ホークマスタリー,WH_HAWK_M
カラミティゲイル,WH_CALAMITYGALE
ホークブーメラン,WH_HAWKBOOMERANG
ゲイルストーム,WH_GALESTORM
ディープブラインドトラップ,WH_DEEPBLINDTRAP
ソリッドトラップ,WH_SOLIDTRAP
スイフトトラップ,WH_SWIFTTRAP
クレッシブボルト,WH_CRESCIVE_BOLT
フレイムトラップ,WH_FLAMETRAP
ステージマナー,TR_STAGE_MANNER
回想,TR_RETROSPECTION
ミスティックシンフォニー,TR_MYSTIC_SYMPHONY
ソナタオブクヴァシル,TR_KVASIR_SONATA
ロゼブロッサム,TR_ROSEBLOSSOM
ロゼブロッサム,TR_ROSEBLOSSOM_ATK
リズムシューティング,TR_RHYTHMSHOOTING
メタリックフューリー,TR_METALIC_FURY
サウンドブレンド,TR_SOUNDBLEND
ゲフェニアノクターン,TR_GEF_NOCTURN
ロキの気まぐれ,TR_ROKI_CAPRICCIO
鉱員のラプソディ,TR_AIN_RHAPSODY
ミュージカルインタールード,TR_MUSICAL_INTERLUDE
夕焼けのセレナーデ,TR_JAWAII_SERENADE
死者たちへのレクイエム,TR_NIPELHEIM_REQUIEM
プロンテラマーチ,TR_PRON_MARCH
短剣＆弓修練,ABC_DAGGER_AND_BOW_M
魔法剣修練,ABC_MAGIC_SWORD_M
ストリップシャドウ,ABC_STRIP_SHADOW
アビスダガー,ABC_ABYSS_DAGGER
アンラッキーラッシュ,ABC_UNLUCKY_RUSH
チェーンリアクションショット,ABC_CHAIN_REACTION_SHOT
フロムジアビス,ABC_FROM_THE_ABYSS
アビススレイヤー,ABC_ABYSS_SLAYER
オメガアビスストライク,ABC_ABYSS_STRIKE
デフトスタブ,ABC_DEFT_STAB
アビススクエア,ABC_ABYSS_SQUARE
フレンジショット,ABC_FRENZY_SHOT
アックスストンプ,MT_AXE_STOMP
ラッシュクエイク,MT_RUSH_QUAKE
装置製造,MT_M_MACHINE
攻撃装置有効化,MT_A_MACHINE
防御装置有効化,MT_D_MACHINE
ツーアックスディフェンディング,MT_TWOAXEDEF
ABRマスタリー,MT_ABR_M
ABR バトルウォリアー,MT_SUMMON_ABR_BATTLE_WARIOR
ABR デュアルキャノン,MT_SUMMON_ABR_DUAL_CANNON
ABR マザーネット,MT_SUMMON_ABR_MOTHER_NET
ABR インフィニティ,MT_SUMMON_ABR_INFINITY
デュアルキャノンファイアー,ABR_DUAL_CANNON_FIRE
バトルバスター,ABR_BATTLE_BUSTER
ネットリペア,ABR_NET_REPAIR
ネットサポート,ABR_NET_SUPPORT
インフィニティバスター,ABR_INFINITY_BUSTER
魔法本修練,EM_MAGIC_BOOK_M
スペルエンチャンティング,EM_SPELL_ENCHANTING
アクティビティバーン,EM_ACTIVITY_BURN
インクリーシングアクティビティ,EM_INCREASING_ACTIVITY
ダイヤモンドストーム,EM_DIAMOND_STORM
ライトニングランド,EM_LIGHTNING_LAND
ベナムスワンプ,EM_VENOM_SWAMP
コンフラグレーション,EM_CONFLAGRATION
テラドライブ,EM_TERRA_DRIVE
エレメンタルスピリットマスタリー,EM_ELEMENTAL_SPIRIT_M
サモンアルドール,EM_SUMMON_ELEMENTAL_ARDOR
サモンディルビオ,EM_SUMMON_ELEMENTAL_DILUVIO
サモンプロセラ,EM_SUMMON_ELEMENTAL_PROCELLA
サモンテレモトゥス,EM_SUMMON_ELEMENTAL_TERREMOTUS
サモンサーペンス,EM_SUMMON_ELEMENTAL_SERPENS
エレメンタルバスター,EM_ELEMENTAL_BUSTER
エレメンタルバスター,EM_ELEMENTAL_BUSTER_FIRE
エレメンタルバスター,EM_ELEMENTAL_BUSTER_WATER
エレメンタルバスター,EM_ELEMENTAL_BUSTER_WIND
エレメンタルバスター,EM_ELEMENTAL_BUSTER_GROUND
エレメンタルバスター,EM_ELEMENTAL_BUSTER_POISON
エレメンタルヴェール,EM_ELEMENTAL_VEIL
フレイムテクニック,EM_EL_FLAMETECHNIC
フレイムアーマー,EM_EL_FLAMEARMOR
フレイムロック,EM_EL_FLAMEROCK
コールドフォース,EM_EL_COLD_FORCE
クリスタルアーマー,EM_EL_CRYSTAL_ARMOR
エイジオブアイス,EM_EL_AGE_OF_ICE
グレイスブリーズ,EM_EL_GRACE_BREEZE
アイズオブストーム,EM_EL_EYES_OF_STORM
ストームウィンド,EM_EL_STORM_WIND
アースケア,EM_EL_EARTH_CARE
ストロングプロテクション,EM_EL_STRONG_PROTECTION
アバランチェ,EM_EL_AVALANCHE
ディープポイズニング,EM_EL_DEEP_POISONING
ポイズンシールド,EM_EL_POISON_SHIELD
デッドリーポイズン,EM_EL_DEADLY_POISON
アクティビティヒール,GM_AP_HEAL
ワイドデッドリーカース,NPC_DEADLYCURSE2
ケーンオブイビルアイ,NPC_CANE_OF_EVIL_EYE
キリングオーラ,NPC_KILLING_AURA
ドラゴニックブレス,DK_DRAGONIC_BREATH
スパークブラスター,MT_SPARK_BLASTER
トリプルレーザー,MT_TRIPLE_LASER
マイティスマッシュ,MT_MIGHTY_SMASH
エクスプロッシブパウダー,BO_EXPLOSIVE_POWDER
メイヘミックソーンズ,BO_MAYHEMIC_THORNS
天気修練,SKE_SKY_MASTERY
兵法修練,SKE_WAR_BOOK_MASTERY
天地一陽,SKE_RISING_SUN
太天一陽,SKE_NOON_BLAST
天陽,SKE_SUNSET_BLAST
天地一月,SKE_RISING_MOON
太天一月,SKE_MIDNIGHT_KICK
天月,SKE_DAWN_BREAK
天地万星,SKE_TWINKLING_GALAXY
天命落星,SKE_STAR_BURST
天星,SKE_STAR_CANNON
天羅万象,SKE_ALL_IN_THE_SKY
天気の身,SKE_ENCHANTING_SKY
護符修練,SOA_TALISMAN_MASTERY
霊道術修練,SOA_SOUL_MASTERY
守護符,SOA_TALISMAN_OF_PROTECTION
武士符,SOA_TALISMAN_OF_WARRIOR
法師符,SOA_TALISMAN_OF_MAGICIAN
護魂一身,SOA_SOUL_GATHERING
城隍堂,SOA_TOTEM_OF_TUTELARY
五行符,SOA_TALISMAN_OF_FIVE_ELEMENTS
霊道符,SOA_TALISMAN_OF_SOUL_STEALING
死霊浄化,SOA_EXORCISM_OF_MALICIOUS_SOUL
青龍符,SOA_TALISMAN_OF_BLUE_DRAGON
白虎符,SOA_TALISMAN_OF_WHITE_TIGER
朱雀符,SOA_TALISMAN_OF_RED_PHOENIX
玄武符,SOA_TALISMAN_OF_BLACK_TORTOISE
四方神符,SOA_TALISMAN_OF_FOUR_BEARING_GOD
四方五行陣,SOA_CIRCLE_OF_DIRECTIONS_AND_ELEMENTALS
天地神霊,SOA_SOUL_OF_HEAVEN_AND_EARTH
スピリットマスタリー,SH_MYSTICAL_CREATURE_MASTERY
にゃん友 -鉄虎-,SH_COMMUNE_WITH_CHUL_HO
タイガースラッシュ,SH_CHUL_HO_SONIC_CLAW
タイガーハウリング,SH_HOWLING_OF_CHUL_HO
タイガーストライク,SH_HOGOGONG_STRIKE
にゃん友 -亀設-,SH_COMMUNE_WITH_KI_SUL
タートルスプリンクラー,SH_KI_SUL_WATER_SPRAYING
マリンフェスティバル,SH_MARINE_FESTIVAL_OF_KI_SUL
サンドフェスティバル,SH_SANDY_FESTIVAL_OF_KI_SUL
タートルランページ,SH_KI_SUL_RAMPAGE
にゃん友 -賢鹿-,SH_COMMUNE_WITH_HYUN_ROK
レインボーホーン,SH_COLORS_OF_HYUN_ROK
ディアーブリーズ,SH_HYUN_ROKS_BREEZE
ディアーキャノン,SH_HYUN_ROK_CANNON
三霊一体,SH_TEMPORARY_COMMUNION
にゃんブレッシング,SH_BLESSING_OF_MYSTICAL_CREATURES
P.F.I,NW_P_F_I
グレネードマスタリー,NW_GRENADE_MASTERY
インテンシブエイム,NW_INTENSIVE_AIM
グレネードフラグメント,NW_GRENADE_FRAGMENT
ビジラントアットナイト,NW_THE_VIGILANTE_AT_NIGHT
ビジラントアットナイト,NW_THE_VIGILANTE_AT_NIGHT_GUN_SHOTGUN
ビジラントアットナイト,NW_THE_VIGILANTE_AT_NIGHT_GUN_GATLING
オンリーワンバレット,NW_ONLY_ONE_BULLET
スパイラルシューティング,NW_SPIRAL_SHOOTING
マガジンフォーワン,NW_MAGAZINE_FOR_ONE
ワイルドファイア,NW_WILD_FIRE
ベーシックグレネード,NW_BASIC_GRENADE
ヘイスティファイアインザホール,NW_HASTY_FIRE_IN_THE_HOLE
グレネーズドロッピング,NW_GRENADES_DROPPING
オートファイアリングランチャー,NW_AUTO_FIRING_LAUNCHER
ヒドゥンカード,NW_HIDDEN_CARD
ミッションボンバード,NW_MISSION_BOMBARD
独学 -戦闘学-,HN_SELFSTUDY_TATICS
独学 -魔導学-,HN_SELFSTUDY_SOCERY
ダブルボウリングバッシュ,HN_DOUBLEBOWLINGBASH
メガソニックブロー,HN_MEGA_SONIC_BLOW
シールドチェーンラッシュ,HN_SHIELD_CHAIN_RUSH
スパイラルピアースマックス,HN_SPIRAL_PIERCE_MAX
メテオストームバスター,HN_METEOR_STORM_BUSTER
ユピテルサンダーストーム,HN_JUPITEL_THUNDER_STORM
ジャックフロストノヴァ,HN_JACK_FROST_NOVA
ヘルズドライブ,HN_HELLS_DRIVE
グラウンドグラビテーション,HN_GROUND_GRAVITATION
ナパームバルカンストライク,HN_NAPALM_VULCAN_STRIKE
ブレイキングリミット,HN_BREAKINGLIMIT
ルールブレイク,HN_RULEBREAK
蜃気楼分身,SS_SHINKIROU
影溶き,SS_TOKEDASU
影潜り,SS_SHIMIRU
悪夢消し,SS_AKUMUKESU
影狩り,SS_KAGEGARI
影の舞,SS_KAGENOMAI
影一閃,SS_KAGEGISSEN
風魔手裏剣 -掌握-,SS_FUUMASHOUAKU
風魔手裏剣 -構築-,SS_FUUMAKOUCHIKU
苦無 -歪曲-,SS_KUNAIWAIKYOKU
苦無 -回転-,SS_KUNAIKAITEN
苦無 -屈折-,SS_KUNAIKUSSETSU
赤炎砲,SS_SEKIENHOU
冷血砲,SS_REIKETSUHOU
雷電砲,SS_RAIDENPOU
金龍砲,SS_KINRYUUHOU
暗転砲,SS_ANTENPOU
幻術 -影縫い-,SS_KAGEAKUMU
幻術 -苦無-,SS_HITOUAKUMU
幻術 -暗黒龍-,SS_ANKOKURYUUAKUMU
ピアーシングアタック,NPC_PIERCINGATT
メンタルブレイカー,NPC_MENTALBREAKER
レンジアタック,NPC_RANGEATTACK
アトリビュートチェンジ,NPC_ATTRICHANGE
チェンジウォーター,NPC_CHANGEWATER
チェンジグラウンド,NPC_CHANGEGROUND
チェンジファイアー,NPC_CHANGEFIRE
チェンジウィンド,NPC_CHANGEWIND
チェンジポイズン,NPC_CHANGEPOISON
チェンジホーリー,NPC_CHANGEHOLY
チェンジダークネス,NPC_CHANGEDARKNESS
チェンジテレキネシス,NPC_CHANGETELEKINESIS
コンボアタック,NPC_COMBOATTACK
ガイデッドアタック,NPC_GUIDEDATTACK
Mセルフディストラクション,NPC_SELFDESTRUCTION
スプラッシュアタック,NPC_SPLASHATTACK
自決,NPC_SUICIDE
ポイズンブロー,NPC_POISON
ブラインドアタック,NPC_BLINDATTACK
サイレンスアタック,NPC_SILENCEATTACK
スタンアタック,NPC_STUNATTACK
ペトリファイアタック,NPC_PETRIFYATTACK
カースアタック,NPC_CURSEATTACK
スリープアタック,NPC_SLEEPATTACK
ウォーターアタック,NPC_WATERATTACK
グラウンドアタック,NPC_GROUNDATTACK
ファイアーアタック,NPC_FIREATTACK
ウィンドアタック,NPC_WINDATTACK
ポイズンアタック,NPC_POISONATTACK
ホーリーアタック,NPC_HOLYATTACK
ダークネスアタック,NPC_DARKNESSATTACK
テレキネシスアタック,NPC_TELEKINESISATTACK
マジカルアタック,NPC_MAGICALATTACK
メタモルファシス,NPC_METAMORPHOSIS
プロボケイション,NPC_PROVOCATION
スモーキング,NPC_SMOKING
サモンスレイブ,NPC_SUMMONSLAVE
エモーション,NPC_EMOTION
ブラッドドレイン,NPC_BLOODDRAIN
エナジードレイン,NPC_ENERGYDRAIN
キーピング,NPC_KEEPING
ダークブレス,NPC_DARKBREATH
ダークブレッシング,NPC_DARKBLESSING
バリアー,NPC_BARRIER
Mディフェンダー,NPC_DEFENDER
リック,NPC_LICK
ハルシネ―ション,NPC_HALLUCINATION
リバース,NPC_REBIRTH
サモンモンスター,NPC_SUMMONMONSTER
Unknown-Skill,NPC_RANDOMMOVE
スピードアップ,NPC_SPEEDUP
リベンジ,NPC_REVENGE
グランドダークネス,NPC_GRANDDARKNESS
ダークサンダー,NPC_DARKTHUNDER
ホールドウェブ,NPC_STOP
ウェポンブレイカー,NPC_WEAPONBRAKER
ブレイクアーマー,NPC_ARMORBRAKE
ブレイクヘルム,NPC_HELMBRAKE
ブレイクシールド,NPC_SHIELDBRAKE
アンデッドアタック,NPC_UNDEADATTACK
チェンジアンデッドアタック,NPC_CHANGEUNDEAD
コールスレイブ,NPC_CALLSLAVE
インビジブル,NPC_INVISIBLE
逃走,NPC_RUN
モードチェンジ,NPC_EMOTION_ON
ファイアーブレス,NPC_FIREBREATH
アイスブレス,NPC_ICEBREATH
サンダーブレス,NPC_THUNDERBREATH
アシッドブレス,NPC_ACIDBREATH
ダークネスブレス,NPC_DARKNESSBREATH
ブリーディングアタック,NPC_BLEEDING
ワイドサイト,NPC_WIDESIGHT
イクスパルシオン,NPC_EXPULSION
モンスタートーク,NPC_TALK
ワイドヘルパワー,NPC_WIDEHELLDIGNITY
無敵化,NPC_INVINCIBLE
チェンジアンデッド,NPC_CHANGEUNDEAD2
ベナムフォグ,NPC_VENOMFOG
Mミレニアムシールド,NPC_MILLENNIUMSHIELD
Mコメット,NPC_COMET
アイスマイン,NPC_ICEMINE
フレイムクロス,NPC_FLAMECROSS
パルスストライクII,NPC_PULSESTRIKE2
ダンシングブレイド,NPC_DANCINGBLADE
ダークピアーシング,NPC_DARKPIERCING
マックスペイン,NPC_MAXPAIN
Mジャックフロスト,NPC_JACKFROST
ワイドウェブ,NPC_WIDEWEB
ワイドブラッド,NPC_WIDESUCK
Mストームガスト,NPC_STORMGUST2
ファイアストーム,NPC_FIRESTORM
M振動残響,NPC_REVERBERATION
Mレックスエーテルナ,NPC_LEX_AETERNA
Mアローストーム,NPC_ARROWSTORM
Mコルセオヒール,NPC_CHEAL
M呪縛陣,NPC_SR_CURSEDCIRCLE
Mドラゴンブレス,NPC_DRAGONBREATH
Mフェイタルメナス,NPC_FATALMENACE
Mマグマイラプション,NPC_MAGMA_ERUPTION
Mハウリングオブマンドラゴラ,NPC_MANDRAGORA
Mベナムインプレス,NPC_VENOMIMPRESS
Mクラウドキル,NPC_CLOUD_KILL
Mイグニッションブレイク,NPC_IGNITIONBREAK
Mファントムスラスト,NPC_PHANTOMTHRUST
Mポイズンバスター,NPC_POISON_BUSTER
Mハルシネ―ションウォーク,NPC_HALLUCINATIONWALK
Mエレクトリックウォーク,NPC_ELECTRICWALK
Mファイアーウォーク,NPC_FIREWALK
ワイドディスペル,NPC_WIDEDISPEL
デスハンド,NPC_LEASH
ワイドデスハンド,NPC_WIDELEASH
ダメージヒール,NPC_DAMAGE_HEAL
イミューンプロパティ,NPC_IMMUNE_PROPERTY
ポジションチェンジ,NPC_MOVE_COORDINATE
デモニックアシッドブレス,NPC_ACIDBREATH2
Mストリップシャドウ,NPC_STRIP_SHADOW
M夕陽のアサシンクロス,NPC_ASSASSINCROSS
M不協和音,NPC_DISSONANCE
M自分勝手なダンス,NPC_UGLYDANCE
スローロック,NPC_BO_THROWROCK
ウドゥンアタック,NPC_BO_WOODEN_ATTACK
ヘルハウリング,NPC_BO_HELL_HOWLING
ヘルダスティ,NPC_BO_HELL_DUSTY
フェアリーダスティ,NPC_BO_FAIRY_DUSTY